next,productId,year,month,units,avg,count,max,min,prev
53,10068,2021,7,117,117,1,117,117,2236
836,10070,2021,3,4749,949,5,2216,20,740
10,10070,2021,4,836,836,1,836,836,4749
3336,10070,2021,6,10,10,1,10,10,836
1428,10070,2021,7,3336,1112,3,2004,380,10
156,10071,2021,3,4030,2015,2,3970,60,1481
238,10071,2021,4,156,78,2,120,36,4030
2639,10071,2021,5,238,238,1,238,238,156
1126,10071,2021,6,2639,659,4,1992,24,238
1993,10071,2021,7,1126,563,2,1005,121,2639
31,10077,2021,2,2893,1446,2,2766,127,1974
378,18056,2021,4,164,164,1,164,164,418
70,18139,2021,7,14,14,1,14,14,157
169,18154,2021,2,25,25,1,25,25,61
8,18154,2021,3,169,84,2,99,70,25
87,18154,2021,5,8,8,1,8,8,169
127,18154,2021,6,87,87,1,87,87,8
1661,18174,2021,2,691,691,1,691,691,467
6208,18174,2021,3,1661,1661,1,1661,1661,691
914,18174,2021,4,6208,6208,1,6208,6208,1661
3565,18174,2021,5,914,914,1,914,914,6208
916,18174,2021,6,3565,891,4,2282,230,914
21823,18226,2021,2,335,111,3,210,42,2123
7736,18226,2021,3,21823,2727,8,12182,43,335
3170,18226,2021,4,7736,1547,5,4046,42,21823
2181,18226,2021,5,3170,792,4,2370,42,7736
6892,18226,2021,6,2181,727,3,2018,78,3170
42,18226,2021,7,6892,984,7,2104,211,2181
21840,18227,2021,2,275,137,2,246,29,1881
320,18227,2021,3,21840,2730,8,7385,100,275
10299,10003,2021,7,19739,1973,10,6717,76,2642
684,10003,2021,8,10299,936,11,4344,11,19739
7066,10008,2021,8,799,199,4,504,43,16
12016,10013,2021,7,7840,1960,4,4224,308,23510
605,10013,2021,8,12016,3004,4,6006,1202,7840
26,10017,2021,2,562,140,4,223,56,28
172,10017,2021,3,26,26,1,26,26,562
1141,10017,2021,4,172,86,2,120,52,26
149,10017,2021,5,1141,380,3,1012,11,172
893,10017,2021,6,149,49,3,120,6,1141
2188,10020,2021,2,236,59,4,151,24,146
313,10020,2021,3,2188,437,5,1383,3,236
58,10020,2021,4,313,156,2,295,18,2188
16,10020,2021,5,58,58,1,58,58,313
241,10020,2021,6,16,16,1,16,16,58
396,10023,2021,6,175,58,3,114,28,4360
9809,10037,2021,3,19260,1926,10,7588,232,14799
2966,10043,2021,2,5518,1379,4,4486,150,9519
291,10043,2021,3,2966,593,5,1467,298,5518
1643,10043,2021,5,291,291,1,291,291,2966
2945,10044,2021,3,4016,1338,3,2600,54,3160
2224,10044,2021,4,2945,1472,2,1946,999,4016
274,10044,2021,5,2224,1112,2,2164,60,2945
1078,10044,2021,6,274,137,2,269,5,2224
189,10044,2021,7,1078,539,2,997,81,274
17,10049,2021,5,1022,1022,1,1022,1022,1611
263,10065,2021,5,140,140,1,140,140,9729
575,10065,2021,6,263,131,2,135,128,140
639,10084,2021,2,20,10,2,19,1,38
1285,10084,2021,3,639,213,3,558,7,20
5177,10085,2021,2,1528,1528,1,1528,1528,173
172,10085,2021,3,5177,647,8,2040,88,1528
226,10085,2021,5,172,172,1,172,172,5177
182,18170,2021,6,179,179,1,179,179,360
72,18188,2021,4,144,144,1,144,144,24
26770,20007,2021,2,4576,2288,2,4560,16,245
4029,20007,2021,3,26770,2677,10,10045,38,4576
40180,20007,2021,4,4029,2014,2,4002,27,26770
51757,20007,2021,5,40180,5022,8,19760,0,4029
12290,20007,2021,6,51757,4705,11,15005,14,40180
42655,20013,2021,2,31080,1942,16,7984,31,70489
21041,20013,2021,3,42655,3281,13,12908,60,31080
33684,20013,2021,4,21041,2630,8,8540,61,42655
51502,20013,2021,5,33684,2807,12,15060,13,21041
15344,20013,2021,6,51502,3961,13,13809,16,33684
50123,20013,2021,7,15344,2192,7,10930,131,51502
4477,20013,2021,8,50123,4176,12,14872,24,15344
20169,20014,2021,2,6585,1317,5,4685,196,50057
24578,20014,2021,3,20169,2521,8,13360,40,6585
8065,20014,2021,4,24578,4096,6,20998,115,20169
13782,20014,2021,5,8065,1344,6,4469,217,24578
11659,20014,2021,6,13782,3445,4,5171,2360,8065
16982,20014,2021,7,11659,1665,7,5634,24,13782
198,20015,2021,2,38392,4799,8,21616,2,11422
182,20015,2021,3,198,198,1,198,198,38392
25167,20016,2021,2,14453,3613,4,7920,135,14368
8187,20016,2021,3,25167,3595,7,11656,405,14453
26453,20016,2021,4,8187,2046,4,5120,3,25167
39115,20016,2021,5,26453,8817,3,23318,1115,8187
23169,20016,2021,6,39115,3008,13,9902,2,26453
3577,20016,2021,7,23169,3309,7,10733,7,39115
81988,20037,2021,3,13677,3419,4,8082,99,21902
32285,20037,2021,4,81988,6832,12,40205,84,13677
2139,20037,2021,5,32285,2935,11,15971,45,81988
6080,20037,2021,6,2139,1069,2,1875,264,32285
6180,20037,2021,7,6080,2026,3,5140,56,2139
6000,20037,2021,8,6180,6180,1,6180,6180,6080
5154,20038,2021,8,927,927,1,927,927,5103
43096,20041,2021,3,6721,1344,5,5692,37,19384
16599,20041,2021,4,43096,8619,5,15880,522,6721
22161,20041,2021,5,16599,5533,3,9000,696,43096
121,20041,2021,6,22161,3693,6,16088,8,16599
2029,20041,2021,7,121,121,1,121,121,22161
3965,20041,2021,8,2029,507,4,958,168,121
63826,20042,2021,2,2167,541,4,1263,11,14400
28864,20042,2021,3,63826,7091,9,31673,20,2167
17004,20042,2021,4,28864,5772,5,8962,175,63826
11362,20042,2021,5,17004,2429,7,9048,53,28864
31171,20042,2021,6,11362,1420,8,3608,104,17004
4174,20042,2021,7,31171,5195,6,22343,7,11362
1822,20042,2021,8,4174,521,8,1208,78,31171
14404,20044,2021,3,3415,3415,1,3415,3415,27326
4187,20044,2021,4,14404,7202,2,13271,1133,3415
48931,20049,2021,2,21012,3502,6,10340,755,53072
5967,20049,2021,3,48931,4893,10,32916,0,21012
8205,20049,2021,4,5967,1491,4,3619,51,48931
331,20049,2021,5,8205,8205,1,8205,8205,5967
77161,20049,2021,6,331,331,1,331,331,8205
54,18227,2021,4,320,160,2,313,7,21840
300,18227,2021,6,54,54,1,54,54,320
5661,20003,2021,6,5179,5179,1,5179,5179,10840
17360,20003,2021,7,5661,5661,1,5661,5661,5179
1266,20006,2021,4,652,163,4,449,45,4087
245,20006,2021,5,1266,1266,1,1266,1266,652
860,20006,2021,6,245,245,1,245,245,1266
10966,20008,2021,3,52292,4357,12,18348,52,1162
8186,20008,2021,4,10966,2741,4,10397,113,52292
6568,20008,2021,5,8186,2046,4,4033,111,10966
1489,20008,2021,6,6568,1313,5,3363,412,8186
72901,20008,2021,7,1489,744,2,1489,0,6568
4739,20008,2021,8,72901,4860,15,33349,335,1489
41506,20009,2021,2,8181,743,11,2294,2,68538
8818,20009,2021,3,41506,3458,12,11500,45,8181
1915,20009,2021,4,8818,1102,8,2314,1,41506
28247,20009,2021,5,1915,638,3,1279,0,8818
8896,20009,2021,8,28247,2567,11,14104,44,1915
32834,20012,2021,2,15524,2217,7,6937,532,89647
12060,20012,2021,3,32834,2345,14,7667,18,15524
16,20012,2021,4,12060,2010,6,4298,425,32834
77235,20012,2021,7,16,16,1,16,16,12060
8010,20017,2021,2,11870,3956,3,7960,1940,3231
79,20017,2021,3,8010,2002,4,3940,88,11870
59,20017,2021,4,79,26,3,61,4,8010
147,20017,2021,7,59,59,1,59,59,79
9960,20017,2021,8,147,73,2,121,26,59
24903,20018,2021,2,23543,4708,5,8494,706,28010
2020,20018,2021,3,24903,3112,8,10162,25,23543
30510,20018,2021,4,2020,1010,2,2016,4,24903
21323,20018,2021,6,30510,3051,10,22190,20,2020
35584,20018,2021,7,21323,2369,9,11980,529,30510
58103,20019,2021,2,45599,6514,7,29349,107,62248
14745,20019,2021,3,58103,5282,11,30840,0,45599
20809,20019,2021,4,14745,3686,4,8127,1608,58103
20773,20019,2021,5,20809,6936,3,16240,2035,14745
8806,20019,2021,6,20773,2596,8,8050,12,20809
5536,20019,2021,7,8806,1467,6,2978,238,20773
864,20019,2021,8,5536,1845,3,2568,410,8806
20939,20020,2021,2,9086,1135,8,2625,2,70002
12477,20020,2021,3,20939,1903,11,5890,81,9086
249,20020,2021,4,12477,1247,10,4301,50,20939
15144,20020,2021,5,249,124,2,222,27,12477
11618,20020,2021,6,15144,2163,7,7986,39,249
130737,20020,2021,7,11618,1161,10,5577,73,15144
15112,20020,2021,8,130737,7263,18,50495,80,11618
2154,20025,2021,2,22584,2258,10,8630,3,15228
30966,20025,2021,3,2154,1077,2,1615,539,22584
1141,20025,2021,4,30966,4423,7,10819,179,2154
8388,20025,2021,5,1141,380,3,547,54,30966
49245,20025,2021,6,8388,2796,3,5986,266,1141
2130,20025,2021,7,49245,24622,2,42725,6520,8388
15768,20026,2021,2,1093,1093,1,1093,1093,606
2099,20026,2021,3,15768,3153,5,14000,74,1093
7556,20026,2021,4,2099,349,6,1198,8,15768
24399,20026,2021,5,7556,839,9,2024,45,2099
18421,20026,2021,6,24399,3485,7,5944,387,7556
13330,20026,2021,7,18421,3684,5,10020,313,24399
2495,20026,2021,8,13330,1666,8,4010,120,18421
76375,20027,2021,2,55664,2929,19,13808,-44,60662
7632,20027,2021,3,76375,4019,19,24355,39,55664
34369,20027,2021,4,7632,1090,7,2950,101,76375
7002,20027,2021,5,34369,4909,7,15224,275,7632
296,20027,2021,6,7002,700,10,2866,18,34369
124338,20027,2021,7,296,296,1,296,296,7002
30216,20027,2021,8,124338,10361,12,44515,6,296
185,20028,2021,2,2586,2586,1,2586,2586,41257
1828,20028,2021,3,185,185,1,185,185,2586
6384,20028,2021,5,1828,1828,1,1828,1828,185
86,20028,2021,6,6384,3192,2,4744,1640,1828
2070,20033,2021,2,1317,329,4,830,152,468
448,20033,2021,3,2070,2070,1,2070,2070,1317
2990,20034,2021,2,7795,3897,2,4810,2985,6683
2035,20034,2021,4,2990,2990,1,2990,2990,7795
114,20034,2021,5,2035,2035,1,2035,2035,2990
10514,20034,2021,6,114,114,1,114,114,2035
2558,20034,2021,7,10514,2628,4,6290,108,114
12474,20035,2021,2,39883,3625,11,16066,-28,22524
617,20035,2021,3,12474,1559,8,4042,299,39883
11643,20035,2021,4,617,617,1,617,617,12474
818,20035,2021,6,11643,1164,10,4050,15,617
951,20035,2021,7,818,204,4,506,15,11643
37,20035,2021,8,951,237,4,461,15,818
80690,20036,2021,2,58081,5280,11,39116,20,46396
38130,20036,2021,3,80690,8965,9,48880,19,58081
2049,20036,2021,4,38130,3466,11,20253,66,80690
1856,20036,2021,5,2049,1024,2,2020,29,38130
11179,20036,2021,6,1856,618,3,1134,147,2049
22213,20049,2021,8,77161,6430,12,26156,45,331
24495,20052,2021,2,6374,3187,2,6034,340,3226
26132,20052,2021,3,24495,2721,9,12120,58,6374
40280,20052,2021,4,26132,4355,6,10590,536,24495
4067,20052,2021,5,40280,3661,11,12428,54,26132
475,20052,2021,6,4067,4067,1,4067,4067,40280
34664,20052,2021,7,475,475,1,475,475,4067
14261,20061,2021,2,12106,6053,2,6106,6000,2001
2531,20061,2021,3,14261,7130,2,10224,4037,12106
6597,20061,2021,4,2531,843,3,1146,532,14261
10600,20061,2021,5,6597,2199,3,5796,106,2531
12200,20061,2021,6,10600,2650,4,5458,28,6597
39852,20062,2021,2,2948,982,3,1966,82,4498
27166,20062,2021,3,39852,6642,6,28240,1,2948
19224,20062,2021,4,27166,2469,11,14143,189,39852
24902,20062,2021,5,19224,2746,7,10077,0,27166
4048,20062,2021,6,24902,6225,4,20386,157,19224
39516,20062,2021,7,4048,1349,3,2388,39,24902
9665,20062,2021,8,39516,3951,10,11138,565,4048
977,20064,2021,2,1834,1834,1,1834,1834,287
2921,20064,2021,4,977,977,1,977,977,1834
7132,20064,2021,5,2921,2921,1,2921,2921,977
31568,20068,2021,3,19495,2785,7,6921,488,4558
6230,20068,2021,4,31568,4509,7,10045,96,19495
32803,20068,2021,5,6230,1246,5,4094,2,31568
38261,20068,2021,6,32803,3644,9,16300,244,6230
20944,20075,2021,2,9981,2495,4,5620,180,64848
6363,20075,2021,3,20944,2618,8,11040,33,9981
51462,20075,2021,4,6363,909,7,4914,60,20944
29701,20075,2021,5,51462,4678,11,16709,60,6363
18485,20075,2021,6,29701,1856,16,7175,59,51462
30991,20075,2021,7,18485,3697,5,8134,235,29701
2752,20075,2021,8,30991,3873,8,13094,18,18485
8259,20077,2021,3,78,78,1,78,78,1320
12340,20077,2021,5,8259,8259,1,8259,8259,78
8983,20077,2021,6,12340,6170,2,10280,2060,8259
3992,20077,2021,7,8983,1796,5,4080,360,12340
71196,20078,2021,2,8626,2156,4,4855,280,31189
36622,20078,2021,3,71196,4188,17,17848,4,8626
40990,20078,2021,4,36622,3329,11,8776,49,71196
16982,20078,2021,5,40990,13663,3,28700,2040,36622
8336,20078,2021,6,16982,1306,13,5316,20,40990
28117,20078,2021,7,8336,833,10,2689,30,16982
5910,20078,2021,8,28117,2162,13,12300,16,8336
8384,20097,2021,2,6188,1031,6,4743,25,75
19999,20097,2021,3,8384,2096,4,6000,25,6188
40898,20097,2021,4,19999,1818,11,5886,50,8384
14454,20097,2021,5,40898,4544,9,12025,100,19999
855,20097,2021,6,14454,2064,7,5899,44,40898
7798,20097,2021,8,855,427,2,529,326,14454
382,20098,2021,4,10477,1047,10,2890,96,2674
7965,20098,2021,5,382,382,1,382,382,10477
98384,20104,2021,5,8412,1402,6,3980,6,9435
15807,20104,2021,6,98384,8198,12,39743,11,8412
2213,20104,2021,8,15807,3951,4,12058,30,98384
3061,20105,2021,3,18320,3664,5,8644,1015,5
6712,20105,2021,5,3061,1020,3,2042,506,18320
2376,20105,2021,6,6712,1678,4,3360,253,3061
2224,20105,2021,7,2376,1188,2,2010,366,6712
480,20105,2021,8,2224,741,3,999,559,2376
9749,20132,2021,5,40902,13634,3,35000,2942,20092
25114,20132,2021,6,9749,9749,1,9749,9749,40902
3860,20132,2021,7,25114,12557,2,21731,3383,9749
9859,20132,2021,8,3860,3860,1,3860,3860,25114
10536,20141,2021,2,1831,915,2,1142,689,2381
19193,20141,2021,4,10536,10536,1,10536,10536,1831
26600,20141,2021,6,19193,1744,11,8735,15,10536
3800,20158,2021,3,58,29,2,47,11,3608
11222,20158,2021,4,3800,3800,1,3800,3800,58
4442,20158,2021,5,11222,2805,4,9166,1,3800
14859,20158,2021,6,4442,2221,2,3178,1264,11222
4008,20158,2021,7,14859,3714,4,8870,409,4442
19850,20159,2021,3,212,212,1,212,212,9043
7154,20159,2021,4,19850,6616,3,10552,3808,212
28638,20159,2021,5,7154,2384,3,5468,842,19850
318,20159,2021,6,28638,3579,8,9698,30,7154
3387,20159,2021,7,318,318,1,318,318,28638
960,20161,2021,3,74,74,1,74,74,5280
12339,20161,2021,4,960,480,2,928,32,74
16176,20161,2021,5,12339,2467,5,8228,185,960
7948,20161,2021,6,16176,4044,4,8460,553,12339
21740,20161,2021,7,7948,3974,2,5228,2720,16176
8854,20162,2021,4,3737,1868,2,3684,53,5546
3097,20162,2021,5,8854,2951,3,5022,188,3737
3000,20162,2021,6,3097,1032,3,3080,6,8854
389,20162,2021,7,3000,3000,1,3000,3000,3097
612,20162,2021,8,389,129,3,214,83,3000
10208,20174,2021,2,7785,3892,2,6025,1760,4189
2615,20036,2021,7,11179,1863,6,3950,145,1856
2020,20036,2021,8,2615,1307,2,1976,639,11179
536,20045,2021,4,722,722,1,722,722,1072
14852,20050,2021,2,-24,-24,1,-24,-24,11912
4259,20050,2021,4,22740,4548,5,7490,2074,14852
3709,20050,2021,5,4259,1419,3,4142,52,22740
2216,20050,2021,6,3709,927,4,2417,5,4259
38496,20051,2021,2,94,47,2,75,19,5037
28500,20051,2021,3,38496,4812,8,18819,67,94
40890,20051,2021,4,28500,3166,9,7134,204,38496
46054,20051,2021,5,40890,6815,6,31660,0,28500
47792,20051,2021,6,46054,3837,12,24955,87,40890
31967,20051,2021,7,47792,47792,1,47792,47792,46054
7127,20051,2021,8,31967,3551,9,12280,13,47792
86850,20053,2021,2,22832,2075,11,6060,144,44955
14042,20053,2021,3,86850,9650,9,32160,86,22832
3537,20053,2021,4,14042,2808,5,7950,252,86850
22391,20053,2021,5,3537,884,4,1998,180,14042
9137,20053,2021,6,22391,2239,10,6010,288,3537
6437,20053,2021,7,9137,4568,2,8547,590,22391
2114,20053,2021,8,6437,643,10,2006,37,9137
5680,20059,2021,6,7921,3960,2,7899,22,8125
2090,20072,2021,4,10896,5448,2,8706,2190,6372
8,20073,2021,3,745,745,1,745,745,2055
10758,20087,2021,2,9040,1291,7,6438,1,11635
660,20087,2021,3,10758,2151,5,4646,17,9040
3262,20087,2021,4,660,220,3,330,66,10758
16706,20087,2021,5,3262,1631,2,3168,94,660
10514,20099,2021,2,138,69,2,78,60,1514
7271,20099,2021,3,10514,1502,7,8492,24,138
9959,20099,2021,4,7271,807,9,1980,81,10514
26175,20099,2021,5,9959,1991,5,7740,82,7271
6069,20099,2021,6,26175,3271,8,9206,30,9959
8355,20099,2021,7,6069,758,8,1272,8,26175
3822,20103,2021,3,1906,1906,1,1906,1906,1998
722,20103,2021,5,3822,3822,1,3822,3822,1906
4485,20103,2021,6,722,722,1,722,722,3822
7163,20103,2021,7,4485,4485,1,4485,4485,722
5693,20106,2021,2,3094,3094,1,3094,3094,148
7960,20106,2021,3,5693,1138,5,4011,51,3094
1000,20106,2021,4,7960,1137,7,5233,102,5693
2909,20106,2021,5,1000,1000,1,1000,1000,7960
4034,20106,2021,6,2909,969,3,2310,299,1000
4542,20106,2021,7,4034,1344,3,3015,14,2909
716,20108,2021,3,20666,2952,7,14814,2,14843
4598,20108,2021,4,716,238,3,377,150,20666
14306,20108,2021,5,4598,919,5,2048,19,716
6612,20108,2021,6,14306,1021,14,5041,6,4598
9547,20108,2021,7,6612,601,11,2017,35,14306
3787,20108,2021,8,9547,734,13,2013,34,6612
7943,20112,2021,5,7889,7889,1,7889,7889,1100
37406,20142,2021,2,17725,3545,5,6768,452,18435
20847,20142,2021,3,37406,4156,9,12865,454,17725
18662,20142,2021,4,20847,2978,7,9759,60,37406
17729,20142,2021,5,18662,3732,5,16454,172,20847
7954,20142,2021,6,17729,3545,5,12752,351,18662
13757,20142,2021,7,7954,1136,7,3636,10,17729
21066,20154,2021,3,31598,3949,8,12179,20,7084
15135,20154,2021,4,21066,3511,6,8683,726,31598
3322,20154,2021,5,15135,2522,6,10319,58,21066
25937,20154,2021,6,3322,830,4,2011,2,15135
6685,20154,2021,8,25937,3242,8,10174,100,3322
2786,20155,2021,2,1689,1689,1,1689,1689,2248
3329,20155,2021,3,2786,2786,1,2786,2786,1689
26300,20157,2021,2,3250,3250,1,3250,3250,1082
2206,20157,2021,3,26300,26300,1,26300,26300,3250
10,20157,2021,5,2206,1103,2,1357,849,26300
62699,20157,2021,6,10,10,1,10,10,2206
461,20157,2021,7,62699,31349,2,61003,1696,10
27317,20160,2021,4,17703,3540,5,9734,270,48
9109,20160,2021,6,27317,3902,7,12426,22,17703
5378,20160,2021,7,9109,3036,3,6228,177,27317
82,20168,2021,3,2080,1040,2,1040,1040,2038
44003,20169,2021,2,40339,3667,11,10320,209,14800
1279,20169,2021,3,44003,5500,8,25900,254,40339
837,20169,2021,4,1279,1279,1,1279,1279,44003
22340,20169,2021,5,837,837,1,837,837,1279
4498,20169,2021,6,22340,3191,7,13560,13,837
25169,20169,2021,7,4498,2249,2,4116,382,22340
2064,20169,2021,8,25169,5033,5,12434,255,4498
7629,20170,2021,2,10288,1714,6,4247,194,5733
6686,20170,2021,3,7629,2543,3,4300,9,10288
3859,20170,2021,4,6686,2228,3,6324,28,7629
11118,20170,2021,5,3859,964,4,1725,51,6686
1587,20170,2021,6,11118,2223,5,4160,70,3859
79196,20170,2021,7,1587,1587,1,1587,1587,11118
51700,20170,2021,8,79196,7919,10,24360,22,1587
1743,20171,2021,2,4987,1662,3,3673,88,2769
10280,20174,2021,3,10208,3402,3,9900,9,7785
2146,20174,2021,4,10280,1713,6,4400,60,10208
15530,20174,2021,5,2146,536,4,1177,116,10280
566,20174,2021,6,15530,1294,12,4705,36,2146
2934,20185,2021,2,1207,1207,1,1207,1207,2566
723,20185,2021,3,2934,1467,2,1690,1244,1207
3184,20185,2021,4,723,723,1,723,723,2934
9856,20185,2021,5,3184,3184,1,3184,3184,723
7580,20185,2021,6,9856,3285,3,4660,1937,3184
2881,20190,2021,2,1912,956,2,1310,602,167
1484,20190,2021,3,2881,1440,2,2445,436,1912
957,20190,2021,4,1484,742,2,1047,437,2881
14475,20190,2021,5,957,957,1,957,957,1484
27445,20190,2021,6,14475,2067,7,7318,349,957
2375,20190,2021,7,27445,6861,4,25860,527,14475
688,20192,2021,3,48845,5427,9,12250,421,30217
5260,20192,2021,4,688,344,2,611,77,48845
8441,20192,2021,5,5260,2630,2,4286,974,688
21557,20192,2021,6,8441,1055,8,3481,40,5260
33229,20192,2021,7,21557,4311,5,12348,26,8441
12500,20192,2021,8,33229,6645,5,12520,162,21557
858,20195,2021,6,9692,9692,1,9692,9692,10540
21978,20197,2021,2,17995,8997,2,17344,651,41878
1295,20197,2021,3,21978,5494,4,10207,34,17995
28215,20198,2021,2,31374,3137,10,8086,8,14027
16507,20198,2021,3,28215,4030,7,14580,6,31374
17661,20198,2021,4,16507,5502,3,12370,2066,28215
4082,20198,2021,5,17661,3532,5,7240,87,16507
30820,20198,2021,6,4082,2041,2,4079,3,17661
37796,20199,2021,2,17403,2486,7,9288,36,10312
7624,20199,2021,3,37796,4724,8,15406,16,17403
15216,20199,2021,4,7624,847,9,3068,0,37796
61102,20199,2021,5,15216,2173,7,5488,200,7624
5534,20199,2021,6,61102,10183,6,26980,24,15216
6418,20199,2021,7,5534,1844,3,3783,360,61102
2,20201,2021,3,3765,1882,2,2510,1255,2778
5407,20206,2021,2,9,9,1,9,9,249
2641,20206,2021,3,5407,1351,4,2639,1,9
8290,20206,2021,4,2641,880,3,1133,754,5407
8029,20206,2021,6,8290,2072,4,5277,15,2641
1231,20210,2021,2,7744,3872,2,4057,3687,167
172,20210,2021,3,1231,410,3,1019,20,7744
180,20210,2021,4,172,86,2,130,42,1231
9120,20210,2021,5,180,180,1,180,180,172
260,20210,2021,6,9120,4560,2,6080,3040,180
91,20210,2021,8,260,260,1,260,260,9120
2554,20230,2021,6,90,90,1,90,90,15480
1483,20230,2021,7,2554,851,3,2540,2,90
112,20230,2021,8,1483,741,2,1233,250,2554
17279,20235,2021,2,61405,6822,9,21509,334,11789
29379,20235,2021,3,17279,1919,9,8757,45,61405
45690,20235,2021,4,29379,2937,10,13184,47,17279
11088,20235,2021,5,45690,5076,9,12375,43,29379
387,20235,2021,6,11088,1108,10,2623,10,45690
6006,20235,2021,7,387,193,2,217,170,11088
23860,20235,2021,8,6006,1201,5,5280,14,387
11741,20236,2021,2,47096,4281,11,11794,34,19295
20061,20236,2021,3,11741,1174,10,4032,14,47096
80761,20236,2021,4,20061,3343,6,9120,162,11741
26716,20236,2021,5,80761,6212,13,15155,59,20061
2007,20236,2021,6,26716,2428,11,11152,4,80761
3965,20236,2021,7,2007,1003,2,1009,998,26716
8286,20236,2021,8,3965,1982,2,3960,5,2007
1034,20238,2021,2,3153,1576,2,3081,72,1418
5136,20238,2021,3,1034,344,3,601,13,3153
5107,20238,2021,4,5136,5136,1,5136,5136,1034
2068,20238,2021,5,5107,2553,2,4080,1027,5136
49,20238,2021,6,2068,2068,1,2068,2068,5107
16334,20252,2021,2,4804,1601,3,4054,214,5584
