date;next;productId;units;avg;count;max;min;prev
2021-4;26453;20016;8187;2046;4;5120;3;25167
2021-5;39115;20016;26453;8817;3;23318;1115;8187
2021-6;23169;20016;39115;3008;13;9902;2;26453
2021-7;3577;20016;23169;3309;7;10733;7;39115
2021-3;81988;20037;13677;3419;4;8082;99;21902
2021-4;32285;20037;81988;6832;12;40205;84;13677
2021-5;2139;20037;32285;2935;11;15971;45;81988
2021-6;6080;20037;2139;1069;2;1875;264;32285
2021-7;6180;20037;6080;2026;3;5140;56;2139
2021-8;6000;20037;6180;6180;1;6180;6180;6080
2021-8;5154;20038;927;927;1;927;927;5103
2021-3;43096;20041;6721;1344;5;5692;37;19384
2021-4;16599;20041;43096;8619;5;15880;522;6721
2021-5;22161;20041;16599;5533;3;9000;696;43096
2021-6;121;20041;22161;3693;6;16088;8;16599
2021-7;2029;20041;121;121;1;121;121;22161
2021-8;3965;20041;2029;507;4;958;168;121
2021-2;63826;20042;2167;541;4;1263;11;14400
2021-3;28864;20042;63826;7091;9;31673;20;2167
2021-4;17004;20042;28864;5772;5;8962;175;63826
2021-5;11362;20042;17004;2429;7;9048;53;28864
2021-6;31171;20042;11362;1420;8;3608;104;17004
2021-7;4174;20042;31171;5195;6;22343;7;11362
2021-8;1822;20042;4174;521;8;1208;78;31171
2021-3;14404;20044;3415;3415;1;3415;3415;27326
2021-4;4187;20044;14404;7202;2;13271;1133;3415
2021-2;48931;20049;21012;3502;6;10340;755;53072
2021-3;5967;20049;48931;4893;10;32916;0;21012
2021-4;8205;20049;5967;1491;4;3619;51;48931
2021-5;331;20049;8205;8205;1;8205;8205;5967
2021-6;77161;20049;331;331;1;331;331;8205
2021-4;54;18227;320;160;2;313;7;21840
2021-6;300;18227;54;54;1;54;54;320
2021-6;5661;20003;5179;5179;1;5179;5179;10840
2021-7;17360;20003;5661;5661;1;5661;5661;5179
2021-4;1266;20006;652;163;4;449;45;4087
2021-5;245;20006;1266;1266;1;1266;1266;652
2021-6;860;20006;245;245;1;245;245;1266
2021-3;10966;20008;52292;4357;12;18348;52;1162
2021-4;8186;20008;10966;2741;4;10397;113;52292
2021-5;6568;20008;8186;2046;4;4033;111;10966
2021-6;1489;20008;6568;1313;5;3363;412;8186
2021-7;72901;20008;1489;744;2;1489;0;6568
2021-8;4739;20008;72901;4860;15;33349;335;1489
2021-2;41506;20009;8181;743;11;2294;2;68538
2021-3;8818;20009;41506;3458;12;11500;45;8181
2021-4;1915;20009;8818;1102;8;2314;1;41506
2021-5;28247;20009;1915;638;3;1279;0;8818
2021-8;8896;20009;28247;2567;11;14104;44;1915
2021-2;32834;20012;15524;2217;7;6937;532;89647
2021-3;12060;20012;32834;2345;14;7667;18;15524
2021-4;16;20012;12060;2010;6;4298;425;32834
2021-7;77235;20012;16;16;1;16;16;12060
2021-2;8010;20017;11870;3956;3;7960;1940;3231
2021-3;79;20017;8010;2002;4;3940;88;11870
2021-4;59;20017;79;26;3;61;4;8010
2021-7;147;20017;59;59;1;59;59;79
2021-8;9960;20017;147;73;2;121;26;59
2021-2;24903;20018;23543;4708;5;8494;706;28010
2021-3;2020;20018;24903;3112;8;10162;25;23543
2021-4;30510;20018;2020;1010;2;2016;4;24903
2021-6;21323;20018;30510;3051;10;22190;20;2020
2021-7;35584;20018;21323;2369;9;11980;529;30510
2021-2;58103;20019;45599;6514;7;29349;107;62248
2021-3;14745;20019;58103;5282;11;30840;0;45599
2021-4;20809;20019;14745;3686;4;8127;1608;58103
2021-5;20773;20019;20809;6936;3;16240;2035;14745
2021-6;8806;20019;20773;2596;8;8050;12;20809
2021-7;5536;20019;8806;1467;6;2978;238;20773
2021-8;864;20019;5536;1845;3;2568;410;8806
2021-2;20939;20020;9086;1135;8;2625;2;70002
2021-3;12477;20020;20939;1903;11;5890;81;9086
2021-4;249;20020;12477;1247;10;4301;50;20939
2021-5;15144;20020;249;124;2;222;27;12477
2021-6;11618;20020;15144;2163;7;7986;39;249
2021-7;130737;20020;11618;1161;10;5577;73;15144
2021-8;15112;20020;130737;7263;18;50495;80;11618
2021-2;2154;20025;22584;2258;10;8630;3;15228
2021-3;30966;20025;2154;1077;2;1615;539;22584
2021-4;1141;20025;30966;4423;7;10819;179;2154
2021-5;8388;20025;1141;380;3;547;54;30966
2021-6;49245;20025;8388;2796;3;5986;266;1141
2021-7;2130;20025;49245;24622;2;42725;6520;8388
2021-2;15768;20026;1093;1093;1;1093;1093;606
2021-3;2099;20026;15768;3153;5;14000;74;1093
2021-4;7556;20026;2099;349;6;1198;8;15768
2021-5;24399;20026;7556;839;9;2024;45;2099
2021-6;18421;20026;24399;3485;7;5944;387;7556
2021-7;13330;20026;18421;3684;5;10020;313;24399
2021-8;2495;20026;13330;1666;8;4010;120;18421
2021-2;76375;20027;55664;2929;19;13808;-44;60662
2021-3;7632;20027;76375;4019;19;24355;39;55664
2021-4;34369;20027;7632;1090;7;2950;101;76375
2021-5;7002;20027;34369;4909;7;15224;275;7632
2021-6;296;20027;7002;700;10;2866;18;34369
2021-7;124338;20027;296;296;1;296;296;7002
2021-8;30216;20027;124338;10361;12;44515;6;296
2021-2;185;20028;2586;2586;1;2586;2586;41257
2021-3;1828;20028;185;185;1;185;185;2586
2021-5;6384;20028;1828;1828;1;1828;1828;185
2021-6;86;20028;6384;3192;2;4744;1640;1828
2021-2;2070;20033;1317;329;4;830;152;468
2021-3;448;20033;2070;2070;1;2070;2070;1317
2021-2;2990;20034;7795;3897;2;4810;2985;6683
2021-4;2035;20034;2990;2990;1;2990;2990;7795
2021-5;114;20034;2035;2035;1;2035;2035;2990
2021-6;10514;20034;114;114;1;114;114;2035
2021-7;2558;20034;10514;2628;4;6290;108;114
2021-2;12474;20035;39883;3625;11;16066;-28;22524
2021-3;617;20035;12474;1559;8;4042;299;39883
2021-4;11643;20035;617;617;1;617;617;12474
2021-6;818;20035;11643;1164;10;4050;15;617
2021-7;951;20035;818;204;4;506;15;11643
2021-8;37;20035;951;237;4;461;15;818
2021-2;80690;20036;58081;5280;11;39116;20;46396
2021-3;38130;20036;80690;8965;9;48880;19;58081
2021-4;2049;20036;38130;3466;11;20253;66;80690
2021-5;1856;20036;2049;1024;2;2020;29;38130
2021-6;11179;20036;1856;618;3;1134;147;2049
2021-8;22213;20049;77161;6430;12;26156;45;331
2021-2;24495;20052;6374;3187;2;6034;340;3226
2021-3;26132;20052;24495;2721;9;12120;58;6374
2021-4;40280;20052;26132;4355;6;10590;536;24495
2021-5;4067;20052;40280;3661;11;12428;54;26132
2021-6;475;20052;4067;4067;1;4067;4067;40280
2021-7;34664;20052;475;475;1;475;475;4067
2021-2;14261;20061;12106;6053;2;6106;6000;2001
2021-3;2531;20061;14261;7130;2;10224;4037;12106
2021-4;6597;20061;2531;843;3;1146;532;14261
2021-5;10600;20061;6597;2199;3;5796;106;2531
2021-6;12200;20061;10600;2650;4;5458;28;6597
2021-2;39852;20062;2948;982;3;1966;82;4498
2021-3;27166;20062;39852;6642;6;28240;1;2948
2021-4;19224;20062;27166;2469;11;14143;189;39852
2021-5;24902;20062;19224;2746;7;10077;0;27166
2021-6;4048;20062;24902;6225;4;20386;157;19224
2021-7;39516;20062;4048;1349;3;2388;39;24902
2021-8;9665;20062;39516;3951;10;11138;565;4048
2021-2;977;20064;1834;1834;1;1834;1834;287
2021-4;2921;20064;977;977;1;977;977;1834
2021-5;7132;20064;2921;2921;1;2921;2921;977
2021-3;31568;20068;19495;2785;7;6921;488;4558
2021-4;6230;20068;31568;4509;7;10045;96;19495
2021-5;32803;20068;6230;1246;5;4094;2;31568
2021-6;38261;20068;32803;3644;9;16300;244;6230
2021-2;20944;20075;9981;2495;4;5620;180;64848
2021-3;6363;20075;20944;2618;8;11040;33;9981
2021-4;51462;20075;6363;909;7;4914;60;20944
2021-5;29701;20075;51462;4678;11;16709;60;6363
2021-6;18485;20075;29701;1856;16;7175;59;51462
2021-7;30991;20075;18485;3697;5;8134;235;29701
2021-8;2752;20075;30991;3873;8;13094;18;18485
2021-3;8259;20077;78;78;1;78;78;1320
2021-5;12340;20077;8259;8259;1;8259;8259;78
2021-6;8983;20077;12340;6170;2;10280;2060;8259
2021-7;3992;20077;8983;1796;5;4080;360;12340
2021-2;71196;20078;8626;2156;4;4855;280;31189
2021-3;36622;20078;71196;4188;17;17848;4;8626
2021-4;40990;20078;36622;3329;11;8776;49;71196
2021-5;16982;20078;40990;13663;3;28700;2040;36622
2021-6;8336;20078;16982;1306;13;5316;20;40990
2021-7;28117;20078;8336;833;10;2689;30;16982
2021-8;5910;20078;28117;2162;13;12300;16;8336
2021-2;8384;20097;6188;1031;6;4743;25;75
2021-3;19999;20097;8384;2096;4;6000;25;6188
2021-4;40898;20097;19999;1818;11;5886;50;8384
2021-5;14454;20097;40898;4544;9;12025;100;19999
2021-6;855;20097;14454;2064;7;5899;44;40898
2021-8;7798;20097;855;427;2;529;326;14454
2021-4;382;20098;10477;1047;10;2890;96;2674
2021-5;7965;20098;382;382;1;382;382;10477
2021-5;98384;20104;8412;1402;6;3980;6;9435
2021-6;15807;20104;98384;8198;12;39743;11;8412
2021-8;2213;20104;15807;3951;4;12058;30;98384
2021-3;3061;20105;18320;3664;5;8644;1015;5
2021-5;6712;20105;3061;1020;3;2042;506;18320
2021-6;2376;20105;6712;1678;4;3360;253;3061
2021-7;2224;20105;2376;1188;2;2010;366;6712
2021-8;480;20105;2224;741;3;999;559;2376
2021-5;9749;20132;40902;13634;3;35000;2942;20092
2021-6;25114;20132;9749;9749;1;9749;9749;40902
2021-7;3860;20132;25114;12557;2;21731;3383;9749
2021-8;9859;20132;3860;3860;1;3860;3860;25114
2021-2;10536;20141;1831;915;2;1142;689;2381
2021-4;19193;20141;10536;10536;1;10536;10536;1831
2021-6;26600;20141;19193;1744;11;8735;15;10536
2021-3;3800;20158;58;29;2;47;11;3608
2021-4;11222;20158;3800;3800;1;3800;3800;58
2021-5;4442;20158;11222;2805;4;9166;1;3800
2021-6;14859;20158;4442;2221;2;3178;1264;11222
2021-7;4008;20158;14859;3714;4;8870;409;4442
2021-3;19850;20159;212;212;1;212;212;9043
2021-4;7154;20159;19850;6616;3;10552;3808;212
2021-5;28638;20159;7154;2384;3;5468;842;19850
2021-6;318;20159;28638;3579;8;9698;30;7154
2021-7;3387;20159;318;318;1;318;318;28638
2021-3;960;20161;74;74;1;74;74;5280
2021-4;12339;20161;960;480;2;928;32;74
2021-5;16176;20161;12339;2467;5;8228;185;960
2021-6;7948;20161;16176;4044;4;8460;553;12339
2021-7;21740;20161;7948;3974;2;5228;2720;16176
2021-4;8854;20162;3737;1868;2;3684;53;5546
2021-5;3097;20162;8854;2951;3;5022;188;3737
2021-6;3000;20162;3097;1032;3;3080;6;8854
2021-7;389;20162;3000;3000;1;3000;3000;3097
2021-8;612;20162;389;129;3;214;83;3000
2021-2;10208;20174;7785;3892;2;6025;1760;4189
2021-7;2615;20036;11179;1863;6;3950;145;1856
2021-8;2020;20036;2615;1307;2;1976;639;11179
2021-4;536;20045;722;722;1;722;722;1072
2021-2;14852;20050;-24;-24;1;-24;-24;11912
2021-4;4259;20050;22740;4548;5;7490;2074;14852
2021-5;3709;20050;4259;1419;3;4142;52;22740
2021-6;2216;20050;3709;927;4;2417;5;4259
2021-2;38496;20051;94;47;2;75;19;5037
2021-3;28500;20051;38496;4812;8;18819;67;94
2021-4;40890;20051;28500;3166;9;7134;204;38496
2021-5;46054;20051;40890;6815;6;31660;0;28500
2021-6;47792;20051;46054;3837;12;24955;87;40890
2021-7;31967;20051;47792;47792;1;47792;47792;46054
2021-8;7127;20051;31967;3551;9;12280;13;47792
2021-2;86850;20053;22832;2075;11;6060;144;44955
2021-3;14042;20053;86850;9650;9;32160;86;22832
2021-4;3537;20053;14042;2808;5;7950;252;86850
2021-5;22391;20053;3537;884;4;1998;180;14042
2021-6;9137;20053;22391;2239;10;6010;288;3537
2021-7;6437;20053;9137;4568;2;8547;590;22391
2021-8;2114;20053;6437;643;10;2006;37;9137
2021-6;5680;20059;7921;3960;2;7899;22;8125
2021-4;2090;20072;10896;5448;2;8706;2190;6372
2021-3;8;20073;745;745;1;745;745;2055
2021-2;10758;20087;9040;1291;7;6438;1;11635
2021-3;660;20087;10758;2151;5;4646;17;9040
2021-4;3262;20087;660;220;3;330;66;10758
2021-5;16706;20087;3262;1631;2;3168;94;660
2021-2;10514;20099;138;69;2;78;60;1514
2021-3;7271;20099;10514;1502;7;8492;24;138
2021-4;9959;20099;7271;807;9;1980;81;10514
2021-5;26175;20099;9959;1991;5;7740;82;7271
2021-6;6069;20099;26175;3271;8;9206;30;9959
2021-7;8355;20099;6069;758;8;1272;8;26175
2021-3;3822;20103;1906;1906;1;1906;1906;1998
2021-5;722;20103;3822;3822;1;3822;3822;1906
2021-6;4485;20103;722;722;1;722;722;3822
2021-7;7163;20103;4485;4485;1;4485;4485;722
2021-2;5693;20106;3094;3094;1;3094;3094;148
2021-3;7960;20106;5693;1138;5;4011;51;3094
2021-4;1000;20106;7960;1137;7;5233;102;5693
2021-5;2909;20106;1000;1000;1;1000;1000;7960
2021-6;4034;20106;2909;969;3;2310;299;1000
2021-7;4542;20106;4034;1344;3;3015;14;2909
2021-3;716;20108;20666;2952;7;14814;2;14843
2021-4;4598;20108;716;238;3;377;150;20666
2021-5;14306;20108;4598;919;5;2048;19;716
2021-6;6612;20108;14306;1021;14;5041;6;4598
2021-7;9547;20108;6612;601;11;2017;35;14306
2021-8;3787;20108;9547;734;13;2013;34;6612
2021-5;7943;20112;7889;7889;1;7889;7889;1100
2021-2;37406;20142;17725;3545;5;6768;452;18435
2021-3;20847;20142;37406;4156;9;12865;454;17725
2021-4;18662;20142;20847;2978;7;9759;60;37406
2021-5;17729;20142;18662;3732;5;16454;172;20847
2021-6;7954;20142;17729;3545;5;12752;351;18662
2021-7;13757;20142;7954;1136;7;3636;10;17729
2021-3;21066;20154;31598;3949;8;12179;20;7084
2021-4;15135;20154;21066;3511;6;8683;726;31598
2021-5;3322;20154;15135;2522;6;10319;58;21066
2021-6;25937;20154;3322;830;4;2011;2;15135
2021-8;6685;20154;25937;3242;8;10174;100;3322
2021-2;2786;20155;1689;1689;1;1689;1689;2248
2021-3;3329;20155;2786;2786;1;2786;2786;1689
2021-2;26300;20157;3250;3250;1;3250;3250;1082
2021-3;2206;20157;26300;26300;1;26300;26300;3250
2021-5;10;20157;2206;1103;2;1357;849;26300
2021-6;62699;20157;10;10;1;10;10;2206
2021-7;461;20157;62699;31349;2;61003;1696;10
2021-4;27317;20160;17703;3540;5;9734;270;48
2021-6;9109;20160;27317;3902;7;12426;22;17703
2021-7;5378;20160;9109;3036;3;6228;177;27317
2021-3;82;20168;2080;1040;2;1040;1040;2038
2021-2;44003;20169;40339;3667;11;10320;209;14800
2021-3;1279;20169;44003;5500;8;25900;254;40339
2021-4;837;20169;1279;1279;1;1279;1279;44003
2021-5;22340;20169;837;837;1;837;837;1279
2021-6;4498;20169;22340;3191;7;13560;13;837
2021-7;25169;20169;4498;2249;2;4116;382;22340
2021-8;2064;20169;25169;5033;5;12434;255;4498
2021-2;7629;20170;10288;1714;6;4247;194;5733
2021-3;6686;20170;7629;2543;3;4300;9;10288
2021-4;3859;20170;6686;2228;3;6324;28;7629
2021-5;11118;20170;3859;964;4;1725;51;6686
2021-6;1587;20170;11118;2223;5;4160;70;3859
2021-7;79196;20170;1587;1587;1;1587;1587;11118
2021-8;51700;20170;79196;7919;10;24360;22;1587
2021-2;1743;20171;4987;1662;3;3673;88;2769
2021-3;10280;20174;10208;3402;3;9900;9;7785
2021-4;2146;20174;10280;1713;6;4400;60;10208
2021-5;15530;20174;2146;536;4;1177;116;10280
2021-6;566;20174;15530;1294;12;4705;36;2146
2021-2;2934;20185;1207;1207;1;1207;1207;2566
2021-3;723;20185;2934;1467;2;1690;1244;1207
2021-4;3184;20185;723;723;1;723;723;2934
2021-5;9856;20185;3184;3184;1;3184;3184;723
2021-6;7580;20185;9856;3285;3;4660;1937;3184
2021-2;2881;20190;1912;956;2;1310;602;167
2021-3;1484;20190;2881;1440;2;2445;436;1912
2021-4;957;20190;1484;742;2;1047;437;2881
2021-5;14475;20190;957;957;1;957;957;1484
2021-6;27445;20190;14475;2067;7;7318;349;957
2021-7;2375;20190;27445;6861;4;25860;527;14475
2021-3;688;20192;48845;5427;9;12250;421;30217
2021-4;5260;20192;688;344;2;611;77;48845
2021-5;8441;20192;5260;2630;2;4286;974;688
2021-6;21557;20192;8441;1055;8;3481;40;5260
2021-7;33229;20192;21557;4311;5;12348;26;8441
2021-8;12500;20192;33229;6645;5;12520;162;21557
2021-6;858;20195;9692;9692;1;9692;9692;10540
2021-2;21978;20197;17995;8997;2;17344;651;41878
2021-3;1295;20197;21978;5494;4;10207;34;17995
2021-2;28215;20198;31374;3137;10;8086;8;14027
2021-3;16507;20198;28215;4030;7;14580;6;31374
2021-4;17661;20198;16507;5502;3;12370;2066;28215
2021-5;4082;20198;17661;3532;5;7240;87;16507
2021-6;30820;20198;4082;2041;2;4079;3;17661
2021-2;37796;20199;17403;2486;7;9288;36;10312
2021-3;7624;20199;37796;4724;8;15406;16;17403
2021-4;15216;20199;7624;847;9;3068;0;37796
2021-5;61102;20199;15216;2173;7;5488;200;7624
2021-6;5534;20199;61102;10183;6;26980;24;15216
2021-7;6418;20199;5534;1844;3;3783;360;61102
2021-3;2;20201;3765;1882;2;2510;1255;2778
2021-2;5407;20206;9;9;1;9;9;249
2021-3;2641;20206;5407;1351;4;2639;1;9
2021-4;8290;20206;2641;880;3;1133;754;5407
2021-6;8029;20206;8290;2072;4;5277;15;2641
2021-2;1231;20210;7744;3872;2;4057;3687;167
2021-3;172;20210;1231;410;3;1019;20;7744
2021-4;180;20210;172;86;2;130;42;1231
2021-5;9120;20210;180;180;1;180;180;172
2021-6;260;20210;9120;4560;2;6080;3040;180
2021-8;91;20210;260;260;1;260;260;9120
2021-6;2554;20230;90;90;1;90;90;15480
2021-7;1483;20230;2554;851;3;2540;2;90
2021-8;112;20230;1483;741;2;1233;250;2554
2021-2;17279;20235;61405;6822;9;21509;334;11789
2021-3;29379;20235;17279;1919;9;8757;45;61405
2021-4;45690;20235;29379;2937;10;13184;47;17279
2021-5;11088;20235;45690;5076;9;12375;43;29379
2021-6;387;20235;11088;1108;10;2623;10;45690
2021-7;6006;20235;387;193;2;217;170;11088
2021-8;23860;20235;6006;1201;5;5280;14;387
2021-2;11741;20236;47096;4281;11;11794;34;19295
2021-3;20061;20236;11741;1174;10;4032;14;47096
2021-4;80761;20236;20061;3343;6;9120;162;11741
2021-5;26716;20236;80761;6212;13;15155;59;20061
2021-6;2007;20236;26716;2428;11;11152;4;80761
2021-7;3965;20236;2007;1003;2;1009;998;26716
2021-8;8286;20236;3965;1982;2;3960;5;2007
2021-2;1034;20238;3153;1576;2;3081;72;1418
2021-3;5136;20238;1034;344;3;601;13;3153
2021-4;5107;20238;5136;5136;1;5136;5136;1034
2021-5;2068;20238;5107;2553;2;4080;1027;5136
2021-6;49;20238;2068;2068;1;2068;2068;5107
2021-2;16334;20252;4804;1601;3;4054;214;5584
